rank,playlist,artist_name,track_name,track popularity,artist genre,acousticness,danceability,energy,instrumentalness,valence,track_id
5,Top Songs - Dominican Republic,KAROL G,MIENTRAS ME CURO DEL CORA,86,reggaeton,0.855,0.523,0.477,0.0,0.57,6otePxalBK8AVa20xhZYVQ
6,Top Songs - Dominican Republic,Bad Bunny,Me Porto Bonito,90,reggaeton,0.0901,0.911,0.712,2.68e-05,0.425,6Sq7ltF9Qa7SNFBsV5Cogx
7,Top Songs - Dominican Republic,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",96,argentine hip hop,0.274,0.778,0.632,0.0,0.498,4nrPB8O7Y7wsOCJdgXkthe
8,Top Songs - Dominican Republic,KAROL G,X SI VOLVEMOS,84,reggaeton,0.334,0.794,0.807,0.0,0.575,4NoOME4Dhf4xgxbHDT7VGe
9,Top Songs - Dominican Republic,Feid,Feliz Cumpleaños Ferxxo,87,colombian pop,0.0863,0.865,0.573,0.0,0.563,2CeKVsFFXG4QzA415QygGb
10,Top Songs - Dominican Republic,Eladio Carrion,Mbappe,78,trap boricua,0.548,0.712,0.684,0.0,0.513,2lmWwBLVJ2P0HX491zkYws
1,Top Songs - Italy,Lazza,CENERE,76,italian hip hop,0.305,0.652,0.628,0.0,0.317,0mHC3BK9vFGoEU0EcGPWRZ
2,Top Songs - Italy,Finesse,"Gelosa (feat. Shiva, Sfera Ebbasta, Guè)",78,italian hip hop,0.0378,0.726,0.672,0.0,0.479,2hHC2jw8qiE4IAPDGjU4Fu
3,Top Songs - Italy,Mr.Rain,SUPEREROI,77,italian pop,0.228,0.47,0.619,0.0,0.453,1nND6VDerwJxLaUwVVCp28
4,Top Songs - Italy,Matteo Paolillo - Icaro,ORIGAMI ALL'ALBA - CLARA,76,None,0.577,0.633,0.751,0.0,0.43,3X6QTmtaKukOu5lISJYi4g
5,Top Songs - Italy,Tananai,TANGO,71,None,0.232,0.33,0.668,0.0,0.323,74cyFjvgjyiFiQ3QxszFWq
6,Top Songs - Italy,Marco Mengoni,Due Vite,61,italian adult pop,0.4,0.635,0.541,0.0,0.133,4eI0ncpnZuv4A3ssTJRSDY
7,Top Songs - Italy,Madame,IL BENE NEL MALE,79,italian hip hop,0.226,0.829,0.703,0.0336,0.615,2j8E9m3kDHfxFnGhN4fXaC
8,Top Songs - Italy,Stefano Lentini,‘O Mar For,75,italian soundtrack,0.0384,0.316,0.524,0.000116,0.488,1DQXiBc8DqPfcdLVZkouhI
9,Top Songs - Italy,Guè,Cookies N' Cream (feat. ANNA & Sfera Ebbasta),77,italian hip hop,0.37,0.572,0.66,0.0,0.581,1xUnvxp9DFrpwXnO0RHKUp
10,Top Songs - Italy,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",91,argentine hip hop,0.0125,0.621,0.782,0.033,0.55,2tTmW7RDtMQtBk7m2rYeSw
1,Top Songs - Israel,Noa Kirel,Unicorn,64,israeli pop,0.0216,0.681,0.868,0.00023,0.282,6dUregFbvUNqHP5nphqesK
2,Top Songs - Israel,Peer Tasi,אהבה חולה,61,israeli mediterranean,0.193,0.616,0.4,0.000915,0.335,4RyMByXc5HfKc3b8wqwOso
3,Top Songs - Israel,Avi Aburomi,אין אותנו יותר (By Tamar Yahalomy & Yonatan Kalimi),58,israeli pop,0.797,0.522,0.428,0.0,0.368,1zZ9bah4HU0TtICQzCFXp3
4,Top Songs - Israel,Miley Cyrus,Flowers,82,pop,0.0632,0.707,0.681,5.15e-06,0.646,4DHcnVTT87F0zZhRPYmZ3B
5,Top Songs - Israel,Eden Hason,עד שתבואי עד אליי,58,israeli mediterranean,0.137,0.703,0.613,8.28e-05,0.518,1Rh5r9vUOumJ1sbPuv3dkO
6,Top Songs - Israel,Osher Cohen,אני פה,57,israeli mediterranean,0.511,0.732,0.54,8.49e-06,0.349,60BOR51eeN8A3wYIrElggH
7,Top Songs - Israel,Static,לירז,56,None,0.0304,0.682,0.764,0.0,0.729,50uspwzqbMxkpyHzMLwUVy
8,Top Songs - Israel,Benaia Barabi,קרן שמש,55,israeli mediterranean,0.562,0.714,0.487,0.0,0.528,3zhFqDzJZfnc8L5QkGWWG6
9,Top Songs - Israel,Tuna,סהרה - Live,58,israeli hip hop,0.75,0.33,0.768,0.0,0.361,7BcRDWY4VTCvRRHoobFWWo
