acousticness,danceability,energy,instrumentalness,valence
0.36,0.839,0.633,0.0,0.592
0.586,0.646,0.685,1.78e-06,0.539
0.0102,0.558,0.67,4.67e-06,0.277
0.125,0.849,0.548,0.00116,0.392
0.355,0.613,0.566,2e-05,0.697
0.052,0.789,0.703,0.00377,0.191
0.375,0.689,0.62,0.000296,0.233
0.0297,0.7,0.589,1.4e-05,0.915
0.103,0.575,0.561,0.0,0.901
0.0632,0.707,0.681,5.15e-06,0.646
0.566,0.714,0.492,0.0,0.557
0.266,0.672,0.683,0.0,0.543
0.239,0.67,0.727,0.0,0.695
0.0951,0.639,0.64,0.0,0.835
0.227,0.575,0.5,0.0,0.506
0.371,0.565,0.764,0.00192,0.734
0.0772,0.944,0.475,0.00289,0.316
0.129,0.708,0.77,0.0,0.545
0.0632,0.707,0.681,5.15e-06,0.646
0.0156,0.748,0.579,1.37e-05,0.625
0.314,0.812,0.724,3.39e-06,0.707
0.51,0.755,0.569,1.77e-05,0.708
0.0498,0.636,0.603,0.0,0.404
0.0948,0.647,0.486,0.000807,0.417
0.139,0.464,0.588,0.0,0.28
0.348,0.72,0.554,0.0,0.27
0.417,0.715,0.62,0.0,0.172
0.227,0.575,0.5,0.0,0.506
0.00617,0.799,0.622,0.000139,0.785
0.00643,0.879,0.315,0.249,0.371
0.00585,0.807,0.474,0.00161,0.664
0.0202,0.875,0.871,0.236,0.779
0.0139,0.875,0.36,0.000377,0.407
0.0522,0.925,0.551,0.00319,0.614
0.551,0.573,0.422,1.31e-05,0.693
0.0632,0.707,0.681,5.15e-06,0.646
0.0369,0.792,0.503,0.00057,0.381
0.252,0.696,0.809,0.000128,0.857
0.673,0.72,0.63,0.0,0.607
0.152,0.772,0.73,0.000107,0.786
0.0492,0.783,0.729,0.000272,0.58
0.0965,0.784,0.826,7.09e-05,0.893
0.187,0.491,0.643,0.0,0.779
0.328,0.928,0.468,4.27e-06,0.47
0.299,0.529,0.602,0.0,0.756
0.00302,0.901,0.589,0.000237,0.399
0.0863,0.865,0.573,0.0,0.563
0.583,0.835,0.679,1.98e-06,0.85
0.357,0.804,0.771,3.07e-06,0.739
0.227,0.575,0.5,0.0,0.506
0.0521,0.644,0.735,0.144,0.418
0.027,0.814,0.641,0.0,0.183
0.0632,0.707,0.681,5.15e-06,0.646
0.502,0.484,0.546,0.0,0.333
0.652,0.77,0.661,0.0,0.943
0.428,0.782,0.587,1.85e-06,0.76
0.252,0.696,0.809,0.000128,0.857
0.653,0.515,0.593,0.162,0.153
0.18,0.93,0.83,0.0,0.944
0.0632,0.707,0.681,5.15e-06,0.646
0.245,0.367,0.438,4.97e-05,0.142
0.281,0.611,0.578,0.0,0.431
0.243,0.545,0.779,1.66e-06,0.303
0.0696,0.563,0.908,0.0,0.171
0.824,0.686,0.253,0.0,0.354
0.227,0.575,0.5,0.0,0.506
0.554,0.682,0.498,0.0,0.483
0.034,0.638,0.613,0.0,0.486
0.103,0.718,0.676,0.159,0.611
0.00207,0.718,0.791,0.00292,0.743
0.0417,0.587,0.759,0.0,0.687
0.0696,0.756,0.597,0.00298,0.797
0.248,0.739,0.678,1.21e-05,0.581
0.243,0.545,0.779,1.66e-06,0.303
0.0528,0.756,0.603,0.000395,0.808
0.0632,0.707,0.681,5.15e-06,0.646
0.0284,0.737,0.752,1.13e-05,0.564
0.324,0.613,0.737,0.0,0.484
0.0737,0.711,0.578,0.0,0.448
0.0021,0.706,0.65,1.32e-05,0.749
0.125,0.647,0.551,1.72e-05,0.29
0.0632,0.707,0.681,5.15e-06,0.646
0.0935,0.848,0.537,2.31e-06,0.978
0.237,0.762,0.805,0.0,0.271
0.0105,0.742,0.73,0.0,0.375
0.692,0.819,0.458,5.56e-05,0.526
0.309,0.762,0.742,8.24e-06,0.789
